timestamp,open,high,low,close,volume
1735689600000,95847.5,96234.2,95623.1,96012.3,125.5
1735689900000,96012.3,96456.7,95891.2,96234.5,89.3
1735690200000,96234.5,96789.1,96012.4,96567.8,156.7
1735690500000,96567.8,96890.3,96234.1,96445.2,98.2
1735690800000,96445.2,96678.9,96123.5,96321.7,134.8
1735691100000,96321.7,96789.4,96012.3,96654.1,167.3
1735691400000,96654.1,97012.5,96423.2,96789.6,201.4
1735691700000,96789.6,97234.7,96567.8,96987.3,178.9
1735692000000,96987.3,97456.2,96789.1,97123.8,145.6
1735692300000,97123.8,97567.4,96987.2,97345.1,189.7
